Column 1,Column 2,Column 3,Column 4,Column 5,YEAR
",DC,12.774.320,""36,45"",29",,,,,1979
",PCI,10.361.344,""29,57"",24",,,,,1979
",PSI,3.866.946,""11,03"",9",,,,,1979
",MSI-DN,1.909.055,""5,45"",4",,,,,1979
",PSDI,1.514.272,""4,32"",4",,,,,1979
",P.RAD,1.285.065,""3,67"",3",,,,,1979
",PLI,1.271.159,""3,63"",3",,,,,1979
",PRI,896.139,""2,56"",2",,,,,1979
",PDUP,406.656,""1,16"",1",,,,,1979
",DEM.PROL,252.342,""0,72"",1",,,,,1979
",PPST,196.373,""0,56"",1",,,,,1979
",UV,166.393,""0,47"",0",,,,,1979
",DN-CD,142.537,""0,41"",0",,,,,1979
